FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
06SKJ2-E,Clearlake Capital Group LP,
000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",
073S3G-E,Capital Research & Management Co. (Global Investors),
06NPXD-E,Capital Research & Management Co. (World Investors),
000KLZ-E,Fidelity Management & Research Co.,
009T0F-E,Mubadala Development Co. PJSC (Private Equity),
060S25-E,"Berkshire Hathaway, Inc. (Investment Management)",
0D5G47-E,Capital Research & Management Co. (International Investors),
000PHW-E,Massachusetts Financial Services Co.,
000YS6-E,Wellington Management Co. LLP,
0011M0-E,Dodge & Cox,
001NP4-E,PRIMECAP Management Co.,
002K8G-E,Baillie Gifford & Co.,
06KMJB-E,BlackRock Investment Management (UK) Ltd.,
002HXG-E,"Charles Schwab Investment Management, Inc.",
05J6LL-E,Legal & General Investment Management Ltd.,
05QBT3-E,"Nikko Asset Management Co., Ltd.",
000WWX-E,State Farm Investment Management Corp.,
05K2L2-E,Aberdeen Standard Investments (Australia) Ltd.,
077CYS-E,"Bank of America, NA (Private Banking)",
0BHPV4-E,"Charles Schwab Investment Advisory, Inc.",
06BJ1G-E,ClearBridge Investments LLC,
05F9M2-E,"Franklin Advisers, Inc.",
000LH7-E,Harris Associates LP,
05FW98-E,Lyxor International Asset Management SAS,
0GB4MX-E,Morgan Stanley Smith Barney LLC (Invt Mgmt),
075GP8-E,Muzinich & Co. Ltd.,
004189-E,First Eagle Investment Management LLC,
000KJ7-E,Fisher Asset Management LLC,
002HL1-E,"Invesco Advisers, Inc.",
05TP21-E,Invesco Capital Management LLC,
05F9JR-E,Mellon Investments Corp.,
05KFYG-E,Norges Bank Investment Management,
05J6S2-E,The Bank of New York Mellon Corp. (Investment Management),
08GP1D-E,BlackRock Advisors (UK) Ltd.,
002DJT-E,Eagle Capital Management LLC,
07KBRX-E,Edward D. Jones & Co. LP (Investment Management),
001MVX-E,Franklin Mutual Advisers LLC,
002HTK-E,Henderson Global Investors Ltd.,
05M7YH-E,MFS International (UK) Ltd.,
071N8T-E,Magellan Asset Management Ltd.,
0HMD9K-E,Newport Trust Co.,
002HWS-E,Parnassus Investments,
05FGHP-E,Principal Global Investors LLC,
001ZHV-E,"TD Asset Management, Inc.",
001BC5-E,"UBS Financial Services, Inc.",
000Q6S-E,"JPMorgan Investment Management, Inc.",
067LK5-E,Longview Partners LLP,
000P8J-E,"Loomis, Sayles & Co. LP",
05FDPL-E,Parametric Portfolio Associates LLC,
09X55R-E,Sanders Capital LLC,
0D8XX0-E,Schweizerische Nationalbank (Investment Portfolio),
05GVFN-E,Swedbank Robur Fonder AB,
002VK6-E,Walter Scott & Partners Ltd.,
05F9FS-E,AllianceBernstein LP,
002JRV-E,Atlanta Capital Management Co. LLC,
089DR7-E,"BlackRock Financial Management, Inc.",
08D3XB-E,BlackRock Fund Advisors,
09Q5CD-E,Columbia Management Investment Advisers LLC,
001MJX-E,Davis Selected Advisers LP,
001FKZ-E,Jennison Associates LLC,
000HGT-E,Macquarie Investment Management Business Trust,
009SF1-E,Managed Account Advisors LLC,
002GDT-E,Polen Capital Management LLC,
0613Y6-E,SBI Funds Management Pvt Ltd.,
05J8D9-E,"SSgA Funds Management, Inc.",
002HP5-E,Teachers Advisors LLC,
002FYS-E,"The Vanguard Group, Inc.",
002BSH-E,Eaton Vance Management,
002187-E,"Fiduciary Management, Inc.",
0BFS1Y-E,Fundsmith LLP,
0DCFD3-E,Goldman Sachs & Co. LLC (Private Banking),
06WRQY-E,National Pension Service of Korea,
002B3Q-E,New York State Common Retirement Fund,
001NBV-E,"PNC Bank, NA (Investment Management)",
002HPC-E,TIAA-CREF Investment Management LLC,
000D7G-E,The California Public Employees Retirement System,
05HHTN-E,Alecta Pension Insurance Mutual,
002C2Z-E,"American Century Investment Management, Inc.",
001L2N-E,Artisan Partners LP,
0024SV-E,"BAMCO, Inc.",
05H9LL-E,"BMO Asset Management, Inc.",
000CM9-E,"Barrow, Hanley, Mewhinney & Strauss LLC",
0B8HZ2-E,Betterment LLC,
002HQY-E,"Beutel, Goodman & Co. Ltd.",
064HJF-E,"Boston Partners Global Investors, Inc.",
0H6JNC-E,Credit Suisse Asset Management (Schweiz) AG,
005GJD-E,"Diamond Hill Capital Management, Inc.",
0B1W7T-E,Fiera Capital Corp. (Investment Management),
009ZBY-E,Financial Engines Advisors LLC,
05K75W-E,Findlay Park Partners LLP,
002K0M-E,Goldman Sachs Asset Management LP,
002HTG-E,Great-West Capital Management LLC,
05V28X-E,ICICI Prudential Asset Management Co. Ltd.,
0BT985-E,MFS International Singapore Pte. Ltd.,
0CFF4J-E,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",
06327D-E,Mitsubishi UFJ Trust & Banking Corp. (Investment Management),
0FM5MX-E,NN Investment Partners BV,
061N0V-E,Reliance Nippon Life Asset Management Ltd. (Invt Mgmt),
005JLG-E,Tortoise Capital Advisors LLC,
05FWL8-E,UBS AG (Investment Management),
